AAPL,AET,AMZN,ANTM,BA,BLL,CALM,CCI,CI,CMCSA,CNQ,COF,DFS,DGX,DOW,DUK,ESRX,FB,FIS,GD,GIS,GOOG,GOOGL,HAS,HBHC,ICE,INTC,KMI,LCI,LLL,LNT,MDCO,MMM,NDAQ,ORCL,PFE,PG,PPL,PREKF,PSX,RAI,RGA,SNY,T,TECH,TWX,UNH,V,VC,VZ,WM,WMT,WWAV,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLV,XLY,XOM
-8.34E-05,-0.000578321,-0.002766377,0.003202734,0.004122589,0.006406129,0.00806447,-0.001831542,-0.019341042,-0.003721031,-0.02793647,0.01053602,0.00658081,0.007587221,0.00662824,0.000516399,-0.006697731,0.000390983,0.009656948,0.004451795,0.001613456,0.001814571,0.001885285,-0.007279506,0.041422907,0.015054952,-0.001086998,-0.004877977,0.002557596,-0.000740246,-0.001324483,-0.00691668,0.006939019,0.003881201,0.002301816,-0.000935826,0.004613213,-0.004323969,-0.043798767,0.006821437,0.005547842,0.011356279,-0.004882837,-0.007540793,-0.00060567,0.002529751,-0.018175013,0.004060976,0.006843835,-0.009290898,0.001583089,-0.004530806,-0.0007223,0.006319112,-0.002271495,0.008278811,0.003825941,0.00262781,0.003444974,0.002262432,-0.001275469,-0.001783607,-0.012362651
-0.001750134,0.01314373,0.001931934,0.006045366,0.004295056,-0.017796861,-0.014857189,-0.016054971,0.015425808,0.004426615,-0.009470984,-0.006416107,-0.005116553,-0.015382961,-0.010743355,-0.00490319,-0.003027398,-0.002892394,-0.003901299,0.010341457,-0.006926546,-0.00483211,-0.005609062,-0.009225388,0.006741559,-0.006107171,-0.005168628,0.001336834,-0.020408112,0.023031843,-0.01114065,-0.035092471,0.001064414,-0.002825307,0.000510334,-0.010302781,-0.002708148,-0.00897514,0,-0.013550453,0.010000033,-0.001363479,-0.014474976,0.004901985,-0.010101006,0.006098225,0.006085907,0.001715982,0.02084518,0.002105282,-0.000287353,-0.007194209,0.001084243,-0.006279431,-0.005490769,-0.004321483,0.00730505,-0.001411282,-0.003623845,-0.009674344,-0.006385761,-0.003097015,-0.017964719
0.001836707,-0.00024477,-0.000877535,0.017014414,0.003333321,-0.008332189,0.009280789,0.011888072,0.004231414,0.013221319,0.01351799,0.007149388,0.002857113,-0.00579044,0.005079716,0.002723026,-0.009661795,-0.003998448,0.008085897,0.002643277,0.012489797,0.003546648,0.004609566,0.002626257,0,0.007724754,0.010117574,0.000890107,0.005208229,-0.003291427,0.002145977,-0.015269267,-0.001063282,0.004473646,0.016832441,0.0022082,0.032467534,0.004966469,0,0.000602523,0.002219148,-0.008272415,0.004480956,0.010975634,0.000204043,0.004389151,-0.000252001,0.001345809,0.019753612,0.006875477,0.001293721,-0.00650699,-0.000361029,0.008886268,0.003770516,0.004774246,0.000157627,0.005451241,0.006508425,0.006186917,-0.002570698,0.0028677,0.013690499
0.000666686,-0.027177034,0.011814467,-0.003120237,-0.010593633,0.005334671,0.005747126,0.002764308,0.003730008,-0.004213647,-0.037410534,-0.005381195,-0.013105389,0.000769231,-0.004182677,-0.003879514,-0.015888488,0.014877141,0.003509196,-0.005889629,-0.004806136,0.017751084,0.019633663,-0.000833424,0.001116058,-0.00975612,-0.004602003,-0.015562512,-0.01554399,-0.011359891,-0.00883301,-0.03129405,0.000111991,-0.000593839,-0.004765463,-0.009757677,-0.005603179,-0.001162804,0,-0.010115648,0.002895608,0.00016194,-0.003469616,0.013268974,-0.001224183,0.006867093,0.002584165,0.00378794,-0.013603221,-0.00588014,-0.004593852,-0.007889232,0,0.001957305,-0.010598344,-0.006479468,-0.005516994,0.001807235,-0.000380385,0.006148907,-0.004152242,0.000714857,-0.010711344
-0.000916063,-0.013338893,0.005575386,0.000466116,0.017169326,0.014327428,-0.007999954,0.006891869,0.008395853,0.00464095,0.016559638,0.021411315,0.008660476,0.002964708,0.043752188,0.001947312,0.011188231,0.00341272,-0.000499571,0.00011287,0.008853815,0.005565655,0.00603962,0.018231636,0.016722408,0.010907794,0.023116617,0.021680308,-0.010526368,-0.000601215,-0.002160383,0.013096624,-0.014228858,0.009358245,0.010584627,-0.009853763,0.010349609,0.007275877,-0.022965059,0.024209303,0.00458561,0.006558687,-0.012185974,-0.015238071,0.000510675,-0.004340166,0.008549603,0.013146705,0.008605461,-0.043693971,0.003172788,0.011252804,0.000180534,0.025786282,0.010983007,0.012608733,0.009985741,0.006213699,0.006659027,0.000321659,-0.006901566,0.008215287,0.001412196
0.015920615,0.013009081,0.017119812,0.023164553,0.042416681,0.003792845,-0.014977004,-0.005475741,0.013922122,-0.002173859,0.017619706,-0.003944622,-0.009587834,0.005911988,0.009557344,-0.001295654,-0.024929957,0.016309817,-0.001874316,-0.010888536,0.005425244,0.014322634,0.010499903,0.015330655,0.012061457,0.008701717,0.004784686,-0.000884205,0.034574576,0.008355609,-0.00162383,-0.000574548,0.004318886,0.005739514,0.001246983,0.004494412,-0.007967186,-0.002600384,0,0.009621076,0.01521551,0.00852711,0.004279909,0.00072529,0.010413516,-0.006538638,0.005049006,0.008049956,0.005797408,-0.00698322,0.001581384,-0.00756679,-0.001444268,0.006665434,0.00523068,0.016745383,0.010514728,0.009561746,-0.000188968,-0.006109364,0.009410773,0.006140729,0.00293807
0.000492329,-0.01259023,0.003143982,-0.008522622,0.010516217,-0.005081418,-0.012865474,0.009520559,-0.011913605,0.028050081,0.003593559,0.015048679,0.002022817,0.010992621,0.020096313,0.000518944,-0.005745504,0.009887458,-0.004006002,0.011293611,-0.004919807,-0.00421214,-0.001712426,-0.060511747,0.004333642,0.00362316,-0.006349132,-0.007964618,-0.015424215,0.031819607,0.001626471,0.005748807,0.000509316,0.007170114,-0.000498157,-0.000319586,-0.006425034,-0.003186588,0.026064309,-0.008941201,0.001998323,0.013320552,-0.009526222,0.009180986,-0.000505235,0.003760977,0.009364888,-0.007866554,-0.014573095,-0.013060096,0.000861272,-0.002391925,-0.002531242,0.002648509,0.000800611,0.002533745,0.002329584,-0.002762414,-0.004347893,-0.000647032,-0.007745277,0.001525877,0.00304666
8.20E-05,-0.001615114,-0.00402789,0.006233673,-0.008396396,0.007595612,-0.018957322,-0.013180357,6.81E-05,0.005960212,-0.001302052,-0.006242312,-0.004181696,-0.0018301,-0.001790899,-0.002334026,-0.023548179,-0.004518798,0.003142285,0.044218815,0.000318979,-0.010623116,-0.013944259,0.013249835,-0.014023694,-0.004985341,0.011182057,-0.00178414,0.023498695,0.017732156,0.006960502,-0.002000686,0.003732543,-0.006828432,0.002491876,0.004475668,0.001385716,-0.004068559,-0.024534522,-0.017450163,0.002825364,-0.010075555,0.009364794,0.005745703,0.009502658,0.003122352,0.001474693,0.006367118,-0.020527546,0.009771967,-0.001290752,-0.016034769,0.002356371,-0.003584887,-0.010398599,-0.003791054,-0.000774765,0.003957269,-0.005505914,-0.008416992,0.008239362,-0.003164236,-0.001051361
-0.002624021,-0.006300537,-0.00644916,0.005412369,-0.012701191,-0.005978664,0.003623116,-0.001036231,-0.007560796,-0.0080316,-0.02868324,-0.003813849,0.008253691,-0.023511648,-0.018920225,0.002339486,0.00769352,-0.009078507,-0.002631243,-0.014421508,-0.001913313,-0.025494639,-0.02508788,0.015716473,0,0.001036587,-0.014744641,-0.012356729,-0.012755102,-0.00808029,-0.000813174,-0.015177521,-0.011606923,-0.002633128,0,-0.003500966,0.000345929,0.003209805,0,-0.00531587,-0.00778921,-0.006599882,0.003009002,-0.004522685,-0.00741035,0.0024902,-0.005521868,-0.000835621,-0.006197217,-0.004637077,-0.000574395,0.011574693,-0.002169964,-0.010225354,-0.018321437,-0.008033858,-0.008528444,-0.008080411,-0.000763675,-0.005550097,-0.004874498,-0.00117562,-0.00760146
-0.002302053,0.016279685,-0.008309479,-0.000259395,-0.012985494,-0.002876587,0.003610157,0.012332866,0.003569005,0.00106188,0.01442957,-0.015989162,-0.005026546,0.015241849,-0.00864507,0.018412842,0.011305183,-0.005038853,-0.002261307,-0.007617685,-0.001916901,-0.006892548,-0.004418405,-0.010315473,0.003282236,0.007248926,-0.01603418,0.016378526,0.041343669,0.009928073,0.021432474,0.048269847,-0.003420312,0.03461426,-0.002982824,0.013414237,0.009798248,0.013379867,0,-0.008623827,0.004342766,0.004322422,0.019499975,0.008130081,0.026533463,0.002380418,6.18E-05,-0.011827932,0.015532914,-0.007291898,-0.001436747,0.004817822,-0.002174683,-0.005930772,0.000411677,-0.006393849,-0.008758173,-0.00496722,0.004776465,0.008207469,0.015991827,-0.001530093,-0.011430609
